id,objectid,state,stcode,district,dtcode,shape_length,shape_area,ds_name,src_agency,state_name
406,406,MP,23,Narsinghpur,418,555498.7979227756,4939362513.613398,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
407,407,MP,23,Neemuch,419,626504.3689561961,4142968356.3357124,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
408,408,MP,23,Panna,420,880406.934167062,6823828351.330082,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
409,409,MP,23,Raisen,421,780342.2807270292,8144431362.670333,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
444,444,NL,13,Wokha,250,248243.18855161106,1529136102.6449454,Administrative Boundary,Survey of India (SOI),Nagaland
445,445,NL,13,Zunheboto,251,298497.27011151006,1516332244.0970354,Administrative Boundary,Survey of India (SOI),Nagaland
446,446,NL,13,Peren,613,245605.58667530885,1656241374.3951435,Administrative Boundary,Survey of India (SOI),Nagaland
447,447,NL,13,Kiphire,614,190779.81662923965,1087321745.4375947,Administrative Boundary,Survey of India (SOI),Nagaland
448,448,NL,13,Longleng,615,186055.63571277968,564209683.3896618,Administrative Boundary,Survey of India (SOI),Nagaland
449,449,OD,21,Anugul,344,601433.5989012675,6152318835.366725,Administrative Boundary,Survey of India (SOI),Odisha
450,450,OD,21,Balangir,345,564423.0446416487,6303852363.230754,Administrative Boundary,Survey of India (SOI),Odisha
451,451,OD,21,Baleshwar,346,548150.0114449207,3670146566.7046156,Administrative Boundary,Survey of India (SOI),Odisha
452,452,OD,21,Bargarh,347,605874.0204370269,5632107251.434029,Administrative Boundary,Survey of India (SOI),Odisha
453,453,OD,21,Bhadrak,348,375161.0059371282,2389208557.204158,Administrative Boundary,Survey of India (SOI),Odisha
454,454,OD,21,Boudh,349,405234.40653967427,2994311684.26659,Administrative Boundary,Survey of India (SOI),Odisha
455,455,OD,21,Cuttack,350,621913.8157236807,3722166834.1812596,Administrative Boundary,Survey of India (SOI),Odisha
456,456,OD,21,Deogarh,351,409652.8415917424,2834198280.946803,Administrative Boundary,Survey of India (SOI),Odisha
457,457,OD,21,Dhenkanal,352,405620.7008241495,4298170976.22002,Administrative Boundary,Survey of India (SOI),Odisha
458,458,OD,21,Gajapati,353,529124.0163745268,3962683261.3352294,Administrative Boundary,Survey of India (SOI),Odisha
459,459,OD,21,Ganjam,354,696384.397236171,8141003182.821428,Administrative Boundary,Survey of India (SOI),Odisha
460,460,OD,21,Jagatsinghapur,355,248866.9668697615,1686379955.142827,Administrative Boundary,Survey of India (SOI),Odisha
461,461,OD,21,Jajapur,356,438630.9035144577,2793051543.1010284,Administrative Boundary,Survey of India (SOI),Odisha
462,462,OD,21,Jharsuguda,357,361643.1240930988,2069366021.9679503,Administrative Boundary,Survey of India (SOI),Odisha
463,463,OD,21,Kalahandi,358,635468.7966433769,7635967821.5148115,Administrative Boundary,Survey of India (SOI),Odisha
464,464,OD,21,Kandhamal,359,640098.6983529544,7745355294.573137,Administrative Boundary,Survey of India (SOI),Odisha
465,465,OD,21,Kendrapara,360,372917.9373925862,2460490861.136232,Administrative Boundary,Survey of India (SOI),Odisha
466,466,OD,21,Kendujhar,361,668140.1148453814,8007564183.991176,Administrative Boundary,Survey of India (SOI),Odisha
467,467,OD,21,Khordha,362,636981.8125049319,2791010119.831572,Administrative Boundary,Survey of India (SOI),Odisha
468,468,OD,21,Koraput,363,789205.3907531705,8105182988.623239,Administrative Boundary,Survey of India (SOI),Odisha
469,469,OD,21,Malkangiri,364,493766.7961376883,5585160793.307556,Administrative Boundary,Survey of India (SOI),Odisha
470,470,OD,21,Mayurbhanj,365,772430.9709979179,10011093038.6741,Administrative Boundary,Survey of India (SOI),Odisha
471,471,OD,21,Nabarangpur,366,555841.8765496137,5275520036.9872875,Administrative Boundary,Survey of India (SOI),Odisha
472,472,OD,21,Nayagarh,367,432271.6591005019,3760846022.0794225,Administrative Boundary,Survey of India (SOI),Odisha
