Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Reservoir_Storage_mcm
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-30 07:30:00,972.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-01 07:30:00,958.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-02 07:30:00,995.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-03 07:30:00,938.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-04 07:30:00,927.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-05 07:30:00,902.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-06 07:30:00,884.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-07 07:30:00,884.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-08 07:30:00,879.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-09 07:30:00,868.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-10 07:30:00,857.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-11 07:30:00,854.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-12 07:30:00,827.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-13 07:30:00,803.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-14 07:30:00,803.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-15 07:30:00,769.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-16 07:30:00,743.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-17 07:30:00,728.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-18 07:30:00,705.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-05-19 07:30:00,675.0
