Dist_Name,avg_elevation,min_elevation,max_elevation,avg_rainfall_mm,max_rainfall_mm,avg_temp,min_temp,max_temp,avg_air_pressure,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,State_Name
Muzaffarpur,52.0,52.0,52.0,3.5584956346541303,110.3,24.633915379449295,5.9,43.5,1008.0805238415043,18.28701590256185,11.95012947,0.19126057,11.7588689,201.0,18.0,6144680.0,19.0,Bihar
Mysuru,765.0,765.0,765.0,3.263709677419355,52.9,24.348220282068503,8.0,39.2,1012.3809267965077,15.49929207355667,1.66900183,1.291071277,0.377930553,75.0,14.0,3330925.0,8.0,Karnataka
Nabarangapur,,,,,,,,,,10.296490508721549,0.945022433,0.509433477,0.435588956,3.0,0.0,1425811.0,8.0,Odisha
Nadia,12.0,12.0,12.0,4.425923438549362,132.5,25.581732706514437,8.0,44.0,1008.0695097380792,17.534500094496988,10.67147424,0.744726558,9.926747682,230.0,3.0,5440236.0,24.0,West Bengal
Nagaon,64.0,64.0,64.0,6.198656816655473,102.2,24.009402283411685,8.2,39.3,1009.1307588985896,17.238952599430498,13.62634202,0.20685283,13.41948919,144.0,5.0,2348489.0,8.0,Assam
Nagapattinam,2.0,2.0,2.0,7.239259259259259,309.9,28.842710027100274,18.5,43.2,1008.8212365591398,15.510547035317163,12.49792911,4.028133598,8.469795512,81.0,5.0,1816255.0,6.0,Tamil Nadu
Nagarkurnool,,,,,,,,,,10.02790622304353,2.158570923,0.873611522,1.284959401,1.0,0.0,978724.0,10.0,Telangana
Nagaur,,,,,,,,,,13.9140218797126,0.318324761,0.004782392,0.313542369,30.0,0.0,3826407.0,24.0,Rajasthan
Nagpur,309.5,308.0,311.0,5.487763713080168,361.9,27.017154471544718,2.0,47.0,1009.5208880994671,18.687113593311008,1.535057736,1.136796464,0.398261272,689.0,78.0,5242373.0,3.0,Maharashtra
Nainital,2196.0752250321475,1953.0,2310.0,4.887939426717144,460.5,15.110094299185597,-5.2,41.0,1011.7844526527871,14.17404358957349,0.775389314,0.026065252,0.749324062,91.0,6.0,1104668.0,3.0,Uttar Pradesh
Nalanda,,,,,,,,,,16.16893638177635,17.26579914,0.017069197,17.24872994,108.0,0.0,3649192.0,23.0,Bihar
Nalbari,,,,,,,,,,15.551852487901126,8.823179287,2.234621552,6.588557735,130.0,1.0,978546.0,10.0,Assam
Nalgonda,0.0,0.0,0.0,3.0714723926380367,84.7,28.495015337423315,13.7,45.6,1008.6081288343559,12.523449573878914,1.110181564,1.121014225,0.010832661,67.0,2.0,1795837.0,8.0,Andhra Pradesh
Namakkal,,,,,,,,,,13.186444809565328,0.411626715,0.022086664,0.389540051,29.0,4.0,2030160.0,8.0,Tamil Nadu
Namsai,,,,,,,,,,10.56352688594745,4.082402322,0.299110207,3.783292115,4.0,1.0,120106.0,5.0,Arunachal Pradesh
Nanded,355.0,355.0,355.0,2.9623237071860307,79.2,26.769375419744794,10.9,43.3,1009.1529214237743,17.5598713904459,1.586913636,0.436541633,1.150372003,262.0,34.0,3861544.0,4.0,Maharashtra
Nandurbar,,,,,,,,,,14.135883571377343,1.936180535,1.1061674,0.830013135,43.0,6.0,2039682.0,4.0,Maharashtra
Nandyal,211.0,211.0,211.0,3.0511752854264604,83.7,28.12081934184016,13.7,46.5,1008.7842847548691,,,,,,,,,Andhra Pradesh
Narayanpet,,,,,,,,,,10.866879335501324,1.584991037,0.815999907,0.76899113,11.0,0.0,669576.0,5.0,Telangana
Narayanpur,,,,,,,,,,9.55376214188696,0.591873275,0.019401894,0.572471381,6.0,2.0,120311.0,2.0,Chhattisgarh
Narmada,,,,,,,,,,13.624414483992092,5.679248253,2.564251605,3.114996648,47.0,0.0,694589.0,11.0,Gujarat
Narmadapuram,543.945963401507,300.0,1061.0,5.57214899713467,248.9,25.690204520990314,-0.4,47.2,1009.512323707186,,,,,,,,,Madhya Pradesh
Narsimhapur,,,,,,,,,,12.272207128992587,2.214872889,0.238163477,1.976709412,14.0,0.0,1275736.0,7.0,Madhya Pradesh
Narsinghpur,354.0,354.0,354.0,3.547078576225655,181.9,25.247683008730693,5.6,45.9,1009.0099395567495,,,,,,,,,Madhya Pradesh
Nashik,551.8521303258145,436.0,599.0,2.5742108797850904,132.8,25.315866589550797,7.5,42.9,1009.9254085516006,15.8107558547062,0.73876734,0.729292944,0.009474396,158.0,70.0,7301954.0,3.0,Maharashtra
Navsari,,,,,,,,,,15.33375021700011,2.899986996,0.636447966,2.26353903,79.0,6.0,1457183.0,21.0,Gujarat
Nawada,,,,,,,,,,16.329761098405058,1.840779083,0.079535975,1.761243108,98.0,23.0,2765346.0,25.0,Bihar
Nayagarh,,,,,,,,,,14.147611779485713,4.840654376,0.392848482,4.447805894,36.0,0.0,1012257.0,29.0,Odisha
Neemuch,,,,,,,,,,10.664636960132986,1.80618778,1.853193024,0.047005244,14.0,1.0,905934.0,6.0,Madhya Pradesh
Nellore,18.425096525096524,17.0,19.0,4.533899264289756,217.9,29.050752895752893,15.9,45.2,1008.6674613834789,,,,,,,,,Andhra Pradesh
New Delhi,215.5,211.0,220.0,4.362213958810068,228.1,25.30018949648078,0.7,48.1,1008.8481576417815,10.399872325032984,0.014199219,0.0,0.014199219,21.0,20.0,1064852.0,3.0,Delhi
Nicobar,14.0,9.0,23.0,6.584263618022865,83.4,27.506747366061422,5.0,47.0,1009.760031383098,,,,,,,,,Andaman and Nicobar Islands
Nicobars,,,,,,,,,,4.664727108280096,0.090612489,0.0,0.090612489,0.0,0.0,27340.0,7.0,Andaman & Nicobar
Nilgiris,1990.5,1745.0,2236.0,5.232224462365592,97.2,15.96676747311828,5.0,32.0,1015.0706989247311,,,,,,,,,Tamil Nadu
Nirmal,,,,,,,,,,9.97777035268932,2.495939442,1.345821289,1.150118153,2.0,0.0,747102.0,10.0,Telangana
Niwari,,,,,,,,,,9.638222930912182,2.347448333,0.208926357,2.138521976,2.0,0.0,474884.0,8.0,Madhya Pradesh
Nizamabad,379.0,379.0,379.0,5.140410958904109,144.0,28.446517262265292,10.1,45.9,1008.7494963062458,13.178789742186606,1.414979667,1.37012829,0.044851377,95.0,1.0,1716963.0,8.0,Andhra Pradesh
