id,objectid,subdistric,sdcode,district,dtcode,state,stcode,total_hous,total_popu,avg_hh,total_geog,forest_are,area_under,barren_un_,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,shape_leng,shape_area,ds_name,src_agency,State_Name
4976,4976,Thirukkuvalai,5801,Nagapattinam,579,TN,33,16202.0,60771.0,131.1194888,14041.0,0.0,2085.0,21.0,46.0,1.0,469.0,464.0,12.0,10934.0,143.0,10795.0,10795.0,0.0,0.0,0.0,76411.46252803215,146812802.82229763,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4977,4977,Vedaranyam,5802,Nagapattinam,579,TN,33,59588.0,216065.0,178.96094219,40736.0,4427.0,6711.0,998.0,274.0,1327.0,91.0,402.0,593.0,25905.0,20775.0,5131.0,4477.0,3.0,0.0,0.0,125074.33166643223,686103327.103184,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4978,4978,Valangaiman,5803,Thiruvarur,590,TN,33,25114.0,100645.0,276.15116188999997,19718.0,0.0,2451.0,0.0,6.0,245.0,376.0,1265.0,679.0,14701.0,346.0,14358.0,14358.0,0.0,0.0,0.0,96531.32615615407,216301902.74594775,Administrative Boundary,Survey of India (SOI),Tamil Nadu
519,519,Alur,5274,Kurnool,511,AP,28,10278.0,55834.0,98.57391573,36754.0,609.0,653.0,3154.0,164.0,17.0,479.0,786.0,329.0,30558.0,30407.0,1266.0,87.0,1079.0,100.0,0.0,100410.77105144407,347938713.4215096,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
544,544,Dornipadu,5299,Kurnool,511,AP,28,6444.0,26079.0,34.80918099,11838.0,0.0,1596.0,0.0,0.0,0.0,233.0,32.0,312.0,9665.0,7330.0,2679.0,2612.0,35.0,0.0,0.0,69015.76951396321,121718119.7518397,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
520,520,Aspari,5275,Kurnool,511,AP,28,12422.0,65088.0,104.48472922,42968.0,604.0,3213.0,1281.0,0.0,16.0,496.0,150.0,454.0,36752.0,35902.0,1454.0,0.0,1261.0,192.0,0.0,128689.19813548053,408320607.76071846,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
521,521,Devanakonda,5276,Kurnool,511,AP,28,14187.0,71237.0,70.43784456,47956.0,2604.0,4227.0,5738.0,523.0,0.0,3324.0,655.0,1844.0,29044.0,29418.0,2122.0,27.0,1896.0,200.0,0.0,128900.02644374748,479098150.95947725,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
557,557,Yadiki,5312,Anantapur,502,AP,28,13941.0,56122.0,55.11738467,31541.0,5917.0,1745.0,6565.0,0.0,0.0,1024.0,1074.0,3655.0,11561.0,13920.0,2370.0,168.0,2202.0,0.0,0.0,131821.72989469368,339874007.76524776,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
558,558,Tadpatri,5313,Anantapur,502,AP,28,39970.0,165872.0,112.67747738,33582.0,1.0,7762.0,13.0,0.0,0.0,1285.0,0.0,0.0,24521.0,20697.0,3824.0,189.0,3635.0,0.0,0.0,102442.29206358915,352931215.3289726,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
4684,4684,Niwai,0617,Tonk,116,RJ,08,43146.0,245787.0,1185.58548426,102284.0,3924.0,4746.0,3564.0,8319.0,41.0,5222.0,4202.0,6764.0,65478.0,41284.0,24191.0,2236.0,21942.0,13.0,0.0,201104.9849100567,879540546.2217261,Administrative Boundary,Survey of India (SOI),Rajasthan
4685,4685,Tonk,0618,Tonk,116,RJ,08,52585.0,286808.0,661.90801198,68864.0,1360.0,4523.0,2631.0,2692.0,20.0,3558.0,2167.0,2428.0,49470.0,29152.0,20320.0,1197.0,18806.0,317.0,0.0,181726.93728831847,675787801.9981945,Administrative Boundary,Survey of India (SOI),Rajasthan
