Dist_Name,State_Name,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration
Faridabad,Haryana,13.063797652273236,6.911149485,0.0,6.911149485,14,2,2383525,7.0
Faridkot,Punjab,12.569999024995894,4.441457773,0.0,4.441457773,15,1,659286,5.0
Farrukhabad,Uttar Pradesh,14.975491783899162,6.314129092,0.099039455,6.215089637,76,0,2145188,20.0
Fatehabad,Haryana,12.608094599668735,9.544000142,0.0,9.544000142,4,6,1056284,6.0
Fatehgarh Sahib,Punjab,12.183871093468309,0.476176498,0.0,0.476176498,37,1,640240,5.0
Fatehpur,Uttar Pradesh,15.880027904370005,6.194245238,0.497518236,5.696727002,94,1,3038415,16.0
Fazilka,Punjab,12.711655400142604,4.742047502,0.0,4.742047502,13,0,1143916,7.0
Firozabad,Uttar Pradesh,16.085013203174043,4.216316792,0.0,4.216316792,62,21,2948291,21.0
Firozpur,Punjab,14.946469180526158,8.113945312,0.027828753,8.086116559,79,1,1057444,8.0
Gadag,Karnataka,15.077883110523665,0.935237691,0.161614128,0.773623563,82,8,1218001,10.0
Gadchiroli,Maharashtra,16.028387315575035,1.859313068,0.196356508,1.66295656,90,15,1183215,4.0
Gajapati,Odisha,12.730445509094396,0.776854184,0.1973271,0.579527084,25,0,638094,29.0
Ganderbal,Jammu & Kashmir,13.968864401256017,1.994547665,0.499016366,1.495531299,58,13,559525,6.0
Gandhinagar,Gujarat,14.150495722380777,1.280221069,0.000328815,1.279892254,49,2,1324292,25.0
Ganganagar,Rajasthan,15.146737991741976,6.604699359,0.009686833,6.595012526,31,1,2163051,21.0
Ganjam,Odisha,17.46172971322325,3.782362954,1.187000815,2.595362139,391,2,3912072,23.0
Garhwa,Jharkhand,11.04842383413576,0.838209479,0.290692695,0.547516784,10,0,1689634,2.0
Garhwal,Uttarakhand,14.763560782047266,1.014386007,0.69594354,0.318442467,171,7,727119,7.0
Gariaband,Chhattisgarh,7.285327069503,0.872452961,0.366717302,0.505735659,0,0,777859,7.0
Gautam Buddha Nagar,Uttar Pradesh,15.137927295438988,4.671283575,0.002840861,4.668442714,59,4,2613780,25.0
Gaya,Bihar,16.047065958457697,3.47076538,0.000225598,3.470539782,122,0,5429170,23.0
Ghaziabad,Uttar Pradesh,14.894861635598293,2.474121961,0.0,2.474121961,70,2,4601786,24.0
Ghazipur,Uttar Pradesh,16.433974169994748,9.244698358,0.864783267,8.379915091,97,3,4171506,20.0
Gir Somnath,Gujarat,14.319257269450071,0.779801587,0.532788711,0.247012876,62,5,1353212,20.0
Giridih,Jharkhand,11.462058703328612,0.488850861,0.045970652,0.442880209,12,0,3023152,4.0
Goalpara,Assam,16.805708109763213,15.877175,3.270135105,12.6070399,158,5,1063871,10.0
