id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency,Waterbody_Name
643,643,1202,,No,High,Inland,Man-made,,0.24854581281998,,25.5975409657,91.6069255857,Meghalaya,209.729470505214,2485.4581281998,Hydrological Layer,SAC N,Tank/Pond
644,644,1202,,No,High,Inland,Man-made,,0.10746071072976,,25.5977236219,91.6019454402,Meghalaya,132.423919634923,1074.6071072976,Hydrological Layer,SAC N,Tank/Pond
2851,2851,1202,,No,High,Inland,Man-made,,1.39747087147146,,25.9068653202,90.7698690859,Meghalaya,1103.56319556733,13974.7087147146,Hydrological Layer,SAC N,Tank/Pond
648,648,1202,,No,High,Inland,Man-made,,0.426279904730371,,25.5980972798,91.5691563762,Meghalaya,254.172559741302,4262.79904730371,Hydrological Layer,SAC N,Tank/Pond
649,649,1202,,No,High,Inland,Man-made,,0.163582863313472,,25.6018900051,91.5696720115,Meghalaya,163.122607951526,1635.82863313472,Hydrological Layer,SAC N,Tank/Pond
4411,4411,1202,,No,High,Inland,Man-made,,0.163085087671954,,25.861035419,90.0785587123,Meghalaya,163.183933944605,1630.85087671954,Hydrological Layer,SAC N,Tank/Pond
4707,4707,1202,,No,High,Inland,Man-made,,0.139710856977758,,25.4540015079,91.6238575088,Meghalaya,149.990644303852,1397.10856977758,Hydrological Layer,SAC N,Tank/Pond
4784,4784,1201,Myntdy Leishka,Yes,Low,Inland,Man-made,,67.8521665074168,,25.2697751001,92.1957383969,Meghalaya,11257.4315576061,678521.665074168,Hydrological Layer,SAC N,Reservoir/Barrage
4816,4816,9999,,NA,NA,NA,NA,,0.635141657108673,,25.7357630591,91.8054726839,Meghalaya,330.908242632525,6351.41657108673,Hydrological Layer,SAC N,NA
4477,4477,1202,,No,High,Inland,Man-made,,0.123998719854404,,25.5754787794,91.4140385629,Meghalaya,155.227771673047,1239.98719854404,Hydrological Layer,SAC N,Tank/Pond
4478,4478,1202,,No,High,Inland,Man-made,,0.449838391868377,,25.5214179427,91.4178682884,Meghalaya,266.524286518798,4498.38391868377,Hydrological Layer,SAC N,Tank/Pond
4479,4479,1202,,No,High,Inland,Man-made,,0.351454039661898,,25.5243711672,91.4024800611,Meghalaya,230.053173537925,3514.54039661898,Hydrological Layer,SAC N,Tank/Pond
4480,4480,1202,,No,High,Inland,Man-made,,0.11291129953762,,25.5041027713,91.3686505911,Meghalaya,144.338092648071,1129.1129953762,Hydrological Layer,SAC N,Tank/Pond
4492,4492,1202,,No,High,Inland,Man-made,,0.203605880550193,,25.471843707,91.9440161772,Meghalaya,308.795269400498,2036.05880550193,Hydrological Layer,SAC N,Tank/Pond
150,150,1202,,No,High,Inland,Man-made,,0.252365077615624,,25.5300947729,91.3027484182,Meghalaya,198.873414217038,2523.65077615624,Hydrological Layer,SAC N,Tank/Pond
