SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
116,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,21-03-2026 18:00,-506.327
117,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,22-03-2026 00:00,-19.7
118,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,22-03-2026 06:00,-19.592
119,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,22-03-2026 12:00,-506.504
120,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,22-03-2026 18:00,-19.914
121,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,23-03-2026 00:00,-19.761
122,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,23-03-2026 06:00,-19.615
123,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,23-03-2026 12:00,-19.804
124,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,23-03-2026 18:00,-20.017
125,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,24-03-2026 00:00,-19.848
